LIPID_NAME	AO_LDLR_1f_chow	AO_LDLR_1m_chow	AO_LDLR_2f_chow	AO_LDLR_2m_chow	AO_LDLR_13f_chow	AO_LDLR_13m_chow	AO_LDLR_5f_WD	AO_LDLR_5m_WD	AO_LDLR_6f_WD	AO_LDLR_6m_WD	AO_LDLR_10f_WD	AO_LDLR_11m_WD	AO_PCSK9_1f_chow	AO_PCSK9_1m_chow	AO_PCSK9_2f_chow	AO_PCSK9_2m_chow	AO_PCSK9_13f_chow	AO_PCSK9_13m_chow	AO_PCSK9_5f_WD	AO_PCSK9_5m_WD	AO_PCSK9_6f_WD	AO_PCSK9_6m_WD	AO_PCSK9_10f_WD	AO_PCSK9_12m_WD	AO_BL6_1f_chow	AO_BL6_1m_chow	AO_BL6_2f_chow	AO_BL6_2m_chow	AO_BL6_13f_chow	AO_BL6_13m_chow	AO_BL6_5f_WD	AO_BL6_6f_WD	AO_BL6_6m_WD	AO_BL6_7m_WD	AO_BL6_10f_WD	AO_BL6_12m_WD	LI_LDLR_1f_chow	LI_LDLR_1m_chow	LI_LDLR_2f_chow	LI_LDLR_2m_chow	LI_LDLR_3m_chow	LI_LDLR_4m_chow	LI_LDLR_5f_WD	LI_LDLR_5m_WD	LI_LDLR_6f_WD	LI_LDLR_6m_WD	LI_LDLR_7f_WD	LI_LDLR_11m_WD	LI_PCSK9_1f_chow	LI_PCSK9_1m_chow	LI_PCSK9_2f_chow	LI_PCSK9_2m_chow	LI_PCSK9_3f_chow	LI_PCSK9_3m_chow	LI_PCSK9_5f_WD	LI_PCSK9_5m_WD	LI_PCSK9_6f_WD	LI_PCSK9_6m_WD	LI_PCSK9_7f_WD	LI_PCSK9_7m_WD	LI_BL6_1f_chow	LI_BL6_1m_chow	LI_BL6_2f_chow	LI_BL6_2m_chow	LI_BL6_3f_chow	LI_BL6_3m_chow	LI_BL6_5f_WD	LI_BL6_6f_WD	LI_BL6_6m_WD	LI_BL6_7f_WD	LI_BL6_7m_WD	LI_BL6_12m_WD	PL_LDLR_1f_chow	PL_LDLR_1m_chow	PL_LDLR_2f_chow	PL_LDLR_2m_chow	PL_LDLR_3m_chow	PL_LDLR_4m_chow	PL_LDLR_5f_WD	PL_LDLR_5m_WD	PL_LDLR_6f_WD	PL_LDLR_6m_WD	PL_LDLR_7f_WD	PL_LDLR_11m_WD	PL_PCSK9_1f_chow	PL_PCSK9_1m_chow	PL_PCSK9_2f_chow	PL_PCSK9_2m_chow	PL_PCSK9_3f_chow	PL_PCSK9_3m_chow	PL_PCSK9_5f_WD	PL_PCSK9_5m_WD	PL_PCSK9_6f_WD	PL_PCSK9_6m_WD	PL_PCSK9_7f_WD	PL_PCSK9_7m_WD	PL_BL6_1f_chow	PL_BL6_1m_chow	PL_BL6_2f_chow	PL_BL6_2m_chow	PL_BL6_3f_chow	PL_BL6_3m_chow	PL_BL6_5f_WD	PL_BL6_6f_WD	PL_BL6_6m_WD	PL_BL6_7f_WD	PL_BL6_7m_WD	PL_BL6_8m_WD
CE 12:0							0.0056019672	0.0054574187	0.005928104	0.00762414	0.0050150553	0.0056621796																															0.003603181	0.0017238475	0.0054337549	0.0026854882	0.0030979524	0.0034090415																																25.433696883	23.1076573439	26.0379471229		29.1529656608								0.4237177456		1.1735770284		0.3604803292							1.0838790497	1.4878317781	2.3474741358	0.681546466	2.5439542024	2.1664338161
CE 13:0																																																																																1.367042136	2.2919980939	3.3013250389		2.7687825182																								
CE 14:0							0.0793862278	0.107811734	0.1364535887	0.1811119821	0.0953505889	0.0905982713							0.0016359172	0.0016313205	0.0010819746	0.0008125692	0.0025101011	0.0029644881							0.0031085842	0.0013236138	0.0014723116	0.0037951888	0.0016735547	0.0013973467							0.0894318074	0.0502034365	0.1636716506	0.0815026206	0.1077247713	0.0713561556							0.0326084788	0.0196137215	0.0592755862	0.0340419748	0.0331001241	0.0315562873							0.0599193797	0.0385024938	0.0575559209	0.0576481916	0.0395628388	0.1019288094	11.5064673715	12.9698403911	10.0984509004	12.7042801556	13.1645889569	11.7981570253		364.3197806782	341.6072501741	424.9791104199		335.558792924		3.3615437873	1.3227703524	2.0315173698		1.7838865421		22.3051807408		36.1471600578		20.7875679494	3.3549220866	4.6761171353		3.3422355569	3.1001304008	3.7461002392	31.0681158431	30.9935450859	43.9637850114	27.7189693556	43.5805637634	48.0853771872
CE 14:1							0.0095670709	0.0115299013	0.0115090975	0.0199022849	0.0074832307	0.0118323075																															0.0089499023	0.0055119661	0.0162365771	0.0103546976	0.01125892	0.0083231387							0.0049293848	0.0007953715	0.0073840037	0.0056618743	0.006880723	0.0046588887							0.0096888626	0.007855639	0.008846941	0.0076879401	0.0064280887	0.0185429735	0.3723806052	1.5094350546	0.6036621184	0.8295719844	0.9029005515	1.1772757813		46.6518386078	39.3498772039	50.2667744946		47.24578564								1.5161150586		2.5221755959		1.3601547864							2.0814178053	2.052074942	3.5498666667	1.7372672697	3.2180354962	3.5261664584
CE 15:0							0.0319386382	0.0468960812	0.0540811879	0.0828440587	0.0399882189	0.0429904342																															0.0452302074	0.0256947435	0.0838653974	0.036055598	0.0478480457	0.0405075533							0.0209975264	0.0118349415	0.0237193945	0.019035002	0.015676859	0.0248950806							0.0246846203	0.0194751606	0.0223732177	0.027625695	0.0195352011	0.0406638811	5.32345607	8.1265871336	5.1789268751	8.0054474708	9.0004362298	6.8346161746		175.5294064247	156.2816612294	185.0095676516		166.8007825182		2.6105762628	0.9724422843	0.8987906353		0.7643824471		10.4381873549		16.8953394171		8.7989435214	2.1258046077	3.0662806587		2.643216907	1.9829261932	2.7266497273	12.3651635543	12.5788609341	16.4051879889	9.1137885216	17.6523497845	18.6407843475
CE 15:1							0.0016014597	0.0040726751	0.005141919	0.0065060914	0.003116701	0.0030595816																															0.0019054452	0.0031507297	0.006078609	0.0029752096	0.0030612612	0.0025639538							0.0023598717		0.0023052748	0.0022003012	0.0020377974	0.0019384142							0.0023888984	0.0019592449	0.0033492979	0.0030919877	0.002675383	0.0048768765	0.352781626	0.8285913816	0.4575801823	0.7564202335	0.3920082971	0.7906302528		21.498873592	15.1599275686	19.6911473468		20.3121748179								0.8821935876		1.6580410378		0.9245907681							1.2216123761	1.4665896825	2.2380889898	0.9126903066	1.9472911699	2.076625287
CE 16:0	0.0038485214	0.0110430882	0.005304171	0.0092646962	0.018108648	0.0132227604	0.6171635271	0.9144812289	0.926600856	1.2314303028	0.6803758389	0.6307139949	0.0020940134	0.0014892684	0.0041203111	0.0049162589	0.0055872764		0.0046318549	0.0065667834	0.0035134937	0.0067484181	0.0126624156	0.011581436	0.0040070045	0.0030507106	0.0052500569	0.0062027994	0.0029523558	0.0036432166	0.0095061306	0.0044623845	0.0037287888	0.0132151444	0.0068806308	0.0060475539	0.0344406531	0.0218411873	0.0724424622	0.0103788965	0.0307866058	0.023490094	0.9740358361	0.5970914008	1.8849819525	0.7249721196	1.0770636056	0.8115701298	0.0164414102	0.0089919534	0.0406253337	0.0097504496	0.0127679568	0.0074349378	0.5588526503	0.2607754572	0.9742009557	0.4331240301	0.543025215	0.5280544026	0.0164217917	0.0101387605	0.017739937	0.0126520645	0.0204531991	0.0069867104	0.8500581543	0.5974173614	0.7839070766	0.8475107213	0.7617043069	1.5886524855	232.7956672257	282.0022702315	232.7193300102	224.5195019455	270.3014453717	203.5305883524		3179.1994408248	3742.5944820205	4257.7529765226		2797.2530613944		33.197888429	28.6412240097	28.8317279358		20.3439202745		78.578495652		105.5996131969		72.7511446946	56.7142242215	54.9646288179		53.2424819636	49.4922576719	46.7512123033	102.4003576955	91.4343062886	123.8800455143	75.4120418923	131.4520970348	152.006141249
CE 16:1	0.0023291518	0.0129615711	0.0037596916	0.0097293175	0.0098122053	0.0108837808	0.3023956737	0.5444318828	0.3396559136	0.5454751912	0.291652384	0.4150715172	0.000496613		0.001158965	0.0027152415	0.0028586434		0.0059979247	0.0115581134	0.0058883462	0.0185089659	0.0096711907	0.0097356483	0.0010646097	0.0023322422	0.0021151728	0.0052498535	0.0021976521	0.002754677	0.0120377805	0.0065488104	0.0075126322	0.0410782033	0.0100977543	0.0132716204	0.0350853604	0.0207521083	0.0619591008	0.0107978754	0.0337545197	0.0294675318	0.8492548882	0.7801152291	1.7249624643	1.1058645778	1.1230777392	1.070789619	0.0212137743	0.0117478922	0.0372118027	0.0165657	0.017350687	0.0107929562	1.1037656413	0.7695300989	1.9728851915	1.2302128162	1.1146868415	1.2251781781	0.0188229147	0.0229896319	0.0241614103	0.0112319243	0.0285896162	0.0129533405	1.4623718046	1.3070189198	1.6834198193	1.5724863095	1.7382197082	3.6410709261	300.1762036894	317.3792150179	231.2831512344	256.0739299611	314.4045661536	265.4489526654		5943.2095834078	4504.7146365602	5407.3601990669		5948.5735691988		43.8433704058	21.5356500608	24.7411695337		26.1527526539		366.9288092637		590.7717630317		317.7286201284	42.8632353307	74.7337431865		56.9683355869	35.575276015	53.7261222901	473.0394561975	434.6836400599	679.8416014804	366.5974097495	892.1793841519	966.4807882865
CE 17:0							0.0729050141	0.1031877441	0.1086838311	0.1339908205	0.0864727132	0.0820840112																															0.2056152925	0.1432712824	0.4520366552	0.1604306754	0.2808404267	0.1821983608							0.1581205511	0.0799639925	0.2675594517	0.1215021947	0.1795728839	0.1141754553							0.231927797	0.1928681081	0.1759052544	0.2358931377	0.1242865345	0.2999910281	7.6766177762	12.6711880823	9.3608832049	10.0917354086	11.2964798033	8.8178686802		590.7640123488	798.854057256	691.5806158631		542.2172437045		2.8022287575	0.8893464885	0.7919504217		0.3945444823		8.0932174903		10.6925804618		7.3492260803	1.4089957005	1.2699535873		0.5262684024	0.9163478049	0.7958926225	9.4385441639	11.0139734543	8.1108655059	9.263094328	11.2224249144	9.8182969615
CE 17:1							0.041604713	0.0606466694	0.0537783169	0.0730945524	0.0423068556	0.0552406523										0.0015437481	0.0014382796	0.0013604513							0.0012698707			0.0024293489	0.0012926767	0.0010165983	0.0021803836	0.0013511037	0.0042282233	0.0006579191	0.0003960221	0.0013416617	0.1082400455	0.072158952	0.2270149203	0.0970881822	0.134821453	0.0851514909							0.090491227	0.0504746025	0.1322810428	0.0756236846	0.0900360673	0.0785772854							0.1215871704	0.115326218	0.1059304781	0.1277415771	0.0797520719	0.1781723171	16.0366314254	14.607488962	13.4153701559	13.0498054475	14.9879733229	10.9846015324		564.6829966029	552.8876507459	476.5278755832		589.6757544225		3.3668233041	0.8631834751	1.2636307364		1.0519264867		37.3661949065		54.5244216599		32.1715917816	2.4411362676	3.5135444149		2.0991614276	1.8616360949	3.1557318831	48.2858095005	50.9965184261	59.0299920128	36.5752341311	64.2640603751	73.1490469538
